201.7.215.49|LOCAL
172.84.94.145|CORINGA
172.84.94.142|NelsonRafael
201.46.47.117|EVOLUÇÃO
172.84.94.152|EVOLUÇÃO
190.102.43.100|DIHZ
45.40.99.149|KEMP
45.4.49.79|VINIWOW
189.127.165.171|FANTASMA
143.0.143.42|RUDINEI
172.84.94.141|DKZ
189.127.165.241|DARK
189.127.165.174|LINUX
45.4.49.79|GOMES
168.194.43.150|MEIAMAO
45.94.208.187|MEIAMAO
189.127.165.245|ANKY
172.84.94.144|JhonWinchester
172.84.94.147|GOTHAMZ
181.174.236.174|JOTAPLAY
172.84.94.147|XAVIER
2804:7110:7100:156:4c42:d723:1d9f:36ab|APOCALYPSE
172.84.94.156|APOCALYPSE
