201.7.215.53|LOCAL
172.84.94.145|CORINGA
31.214.158.200|AFTER
31.214.158.194|AFTER
189.127.165.167|ALEX-MONSTERZ
189.127.165.245|CLAUDIN
191.191.36.16|CLAUDIN
172.84.94.145|CORINGA
181.174.236.5|NANICO
172.84.94.176|NANICO
172.84.94.151|NANICO
172.84.94.161|NANICO
172.84.94.156|APOCALYPSE
172.84.94.160|FABRICIO
45.171.40.66|GOMES 
172.84.94.144|jhonwinchester
189.127.164.144|4trix-HollowG
172.84.94.172|4trix-HollowG
