201.7.215.53|LOCAL
179.191.10.35|ELVIS
190.102.43.100|DIHZ
177.204.16.179|OZZY
189.127.165.169|FAVELAZ
168.194.43.150|MEIAMAO
45.94.208.187|MEIAMAO
172.84.94.141|DKZ
187.10.236.19|LINUX
45.4.49.79|GOMES
31.214.158.200|NORAGE
179.215.139.66|AfonsoBuarque
31.214.158.200|ETC-BATTLEZ
177.125.249.199|ETC
189.127.165.20|WOAGAMER
108.20.193.29|WOAGAMER
135.148.150.168|WOAGAMER
172.84.94.147|XAVIER
2804:7110:7100:156:4c42:d723:1d9f:36ab|APOCALYPSE
172.84.94.156|APOCALYPSE
